Flight Number,Departure City,Arrival City,Duration,Price,Airline,Changes,Adult,Distance
PC1026,Mnichov,Athény,8:35,3055,PC,1,1,1497
FR699,Vídeň,Athény,2:10,3077,FR,0,1,1283
GQ841,Vídeň,Athény,2:00,3187,GQ,0,1,1283
GQ761,Praha,Athény,2:25,3200,GQ,0,1,1535
FR699,Vídeň,Athény,2:10,3252,FR,0,1,1283
GQ761,Praha,Athény,2:25,3446,GQ,0,1,1535
GQ761,Praha,Athény,2:25,3446,GQ,0,1,1535
A3867,Praha,Athény,2:30,3459,A3,0,1,1535
FR45,Vídeň,Athény,2:10,3527,FR,0,1,1283
FR699,Vídeň,Athény,2:10,3627,FR,0,1,1283
A3803,Mnichov,Athény,2:30,3645,A3,0,1,1497
JU311,Vídeň,Athény,16:40,3704,JU,1,1,1283
PC1020,Mnichov,Athény,5:50,3772,PC,1,1,1497
GQ871,Mnichov,Athény,2:35,3777,GQ,0,1,1497
GQ761,Praha,Athény,2:25,3789,GQ,0,1,1535
FR45,Vídeň,Athény,2:10,3827,FR,0,1,1283
FR45,Vídeň,Athény,2:10,3827,FR,0,1,1283
FR699,Vídeň,Athény,2:10,3827,FR,0,1,1283
A3807,Mnichov,Athény,2:30,3927,A3,0,1,1497
FR699,Vídeň,Athény,2:10,3952,FR,0,1,1283
GQ841,Vídeň,Athény,2:00,3979,GQ,0,1,1283
GQ841,Vídeň,Athény,2:00,3979,GQ,0,1,1283
GQ761,Praha,Athény,2:25,4020,GQ,0,1,1535
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
H11060,Praha,Athény,2:25,4157,HR,0,1,1535
FR45,Vídeň,Athény,2:10,4226,FR,0,1,1283
JU175,Praha,Athény,6:15,4345,JU,1,1,1535
A3867,Praha,Athény,2:30,4386,A3,0,1,1535
PC1022,Mnichov,Athény,16:10,4475,PC,1,1,1497
PC1026,Mnichov,Athény,8:35,4475,PC,1,1,1497
PC1024,Mnichov,Athény,11:55,4475,PC,1,1,1497
A3803,Mnichov,Athény,2:30,4501,A3,0,1,1497
A3807,Mnichov,Athény,2:30,4501,A3,0,1,1497
A3803,Mnichov,Athény,2:30,4501,A3,0,1,1497
FR45,Vídeň,Athény,2:10,4501,FR,0,1,1283
FR699,Vídeň,Athény,2:10,4501,FR,0,1,1283
FR45,Vídeň,Athény,2:10,4526,FR,0,1,1283
FR45,Vídeň,Athény,2:10,4526,FR,0,1,1283
FR699,Vídeň,Athény,2:10,4526,FR,0,1,1283
H11060,Praha,Athény,2:25,4556,HR,0,1,1535
H11060,Praha,Athény,2:25,4556,HR,0,1,1535
OS801,Vídeň,Athény,2:10,4572,LH,0,1,1283
JU315,Vídeň,Athény,5:40,4577,JU,1,1,1283
JU311,Vídeň,Athény,4:10,4577,JU,1,1,1283
JU315,Vídeň,Athény,6:05,4577,JU,1,1,1283
JU311,Vídeň,Athény,4:10,4577,JU,1,1,1283
JU315,Vídeň,Athény,5:40,4577,JU,1,1,1283
JU315,Vídeň,Athény,17:10,4577,JU,1,1,1283
JU311,Vídeň,Athény,4:55,4577,JU,1,1,1283
JU315,Vídeň,Athény,5:40,4577,JU,1,1,1283
JU273,Brusel,Athény,5:35,4600,JU,1,1,2092
GQ871,Mnichov,Athény,2:35,4638,GQ,0,1,1497
A3861,Vídeň,Athény,2:05,4665,A3,0,1,1283
FR699,Vídeň,Athény,2:10,4701,FR,0,1,1283
GQ841,Vídeň,Athény,2:00,4703,GQ,0,1,1283
PC1022,Mnichov,Athény,16:10,4719,PC,1,1,1497
PC1026,Mnichov,Athény,8:35,4719,PC,1,1,1497
FR45,Vídeň,Athény,2:10,4776,FR,0,1,1283
FR4747,Brusel,Athény,3:05,4901,FR,0,1,2092
LX1483,Praha,Athény,5:50,4932,LH,1,1,1535
GQ871,Mnichov,Athény,2:35,4938,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4938,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4938,GQ,0,1,1497
PC302,Praha,Athény,26:35,4955,PC,1,1,1535
PC304,Praha,Athény,20:25,4955,PC,1,1,1535
LO530,Praha,Athény,4:50,4963,LO,1,1,1535
LO526,Praha,Athény,16:20,4963,LO,1,1,1535
LO526,Praha,Athény,16:20,4963,LO,1,1,1535
LO524,Praha,Athény,7:05,4963,LO,1,1,1535
OS712,Praha,Athény,4:15,4972,LH,1,1,1535
A3867,Praha,Athény,2:30,5027,A3,0,1,1535
A3867,Praha,Athény,2:30,5027,A3,0,1,1535
A3867,Praha,Athény,2:30,5027,A3,0,1,1535
GQ841,Vídeň,Athény,2:00,5052,GQ,0,1,1283
GQ841,Vídeň,Athény,2:00,5052,GQ,0,1,1283
FR45,Vídeň,Athény,2:10,5076,FR,0,1,1283
FR45,Vídeň,Athény,2:10,5076,FR,0,1,1283
FR699,Vídeň,Athény,2:10,5076,FR,0,1,1283
JU171,Praha,Athény,17:10,5088,JU,1,1,1535
VY1817,Mnichov,Athény,12:15,5090,VY,1,1,1497
H11060,Praha,Athény,2:25,5130,HR,0,1,1535
H11064,Vídeň,Athény,2:00,5139,HR,0,1,1283
H11064,Vídeň,Athény,2:00,5139,HR,0,1,1283
FR2854,Brusel,Bratislava,1:50,1354,FR,0,1,970
FR2973,Brusel,Bratislava,1:50,1354,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,1354,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,1879,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,2053,FR,0,1,970
FR2973,Brusel,Bratislava,1:50,2053,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,2053,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,2578,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,2603,FR,0,1,970
FR2973,Brusel,Bratislava,1:50,2603,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,2603,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,3127,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,3677,FR,0,1,970
FR2973,Brusel,Bratislava,1:50,3677,FR,0,1,970
FR2854,Brusel,Bratislava,1:50,3677,FR,0,1,970
EW7171,Mnichov,Vídeň,6:50,4028,4U,1,1,356
EW9085,Mnichov,Vídeň,7:00,4028,4U,1,1,356
FR2854,Brusel,Bratislava,1:50,4201,FR,0,1,970
EW4238,Praha,Vídeň,6:00,4443,4U,1,1,253
EW81,Mnichov,Vídeň,6:25,4548,4U,1,1,356
DY1505,Praha,Vídeň,12:05,5495,DY,1,1,253
LO234,Brusel,Vídeň,12:55,5690,LO,1,1,917
SN2901,Brusel,Vídeň,1:45,5712,LH,0,1,917
VY8985,Brusel,Vídeň,15:45,5720,VY,1,1,917
KL1706,Brusel,Vídeň,4:05,5889,AF,1,1,917
LO232,Brusel,Vídeň,10:55,6364,LO,1,1,917
KL1706,Brusel,Vídeň,7:10,6454,AF,1,1,917
OS352,Brusel,Vídeň,1:40,6506,LH,0,1,917
LO236,Brusel,Vídeň,8:30,7089,LO,1,1,917
VY8985,Brusel,Vídeň,15:10,7176,VY,1,1,917
LH5573,Brusel,Vídeň,4:15,7302,LH,1,1,917
PC5070,Praha,Bratislava,27:00,7539,PC,2,1,291
LX4545,Brusel,Vídeň,3:15,7986,LH,1,1,917
LH2283,Brusel,Vídeň,3:40,8046,LH,1,1,917
EW9773,Praha,Vídeň,5:35,8218,4U,1,1,253
LH5587,Brusel,Vídeň,3:45,8250,LH,1,1,917
OS712,Praha,Vídeň,0:50,8626,LH,0,1,253
OS352,Brusel,Vídeň,1:40,8789,LH,0,1,917
OS112,Mnichov,Vídeň,1:05,9307,LH,0,1,356
EW9083,Mnichov,Vídeň,5:00,9486,4U,1,1,356
